_embedded_show_id,_embedded_show_url,_embedded_show_name,_embedded_show_type,_embedded_show_language,_embedded_show_genres,_embedded_show_status,_embedded_show_runtime,_embedded_show_averageRuntime,_embedded_show_premiered,_embedded_show_ended,_embedded_show_officialSite,_embedded_show_weight,_embedded_show_webChannel,_embedded_show_dvdCountry,_embedded_show_summary,_embedded_show_updated
51398,https://www.tvmaze.com/shows/51398/lakan,Lakan,Scripted,Tagalog,"['Drama', 'Romance']",Ended,25.0,28.0,2020-10-26,2021-03-01,https://www.youtube.com/channel/UC55Yhi0p2HMQl7wljpwOmog/,27,"{'id': 21, 'name': 'YouTube', 'country': None, 'officialSite': 'https://www.youtube.com'}",,<p><b>Lakan</b> is about a man who wants to escape the reality of his life where he can rest from the hardships of the city and feel the simplicity of life and a man from the province who has a great responsibility to their tribe. The two form an intimate relationship without knowing that it is love despite their sexual preferences.</p>,1650949116
52148,https://www.tvmaze.com/shows/52148/ultra-galaxy-fight-the-absolute-conspiracy,Ultra Galaxy Fight: The Absolute Conspiracy,Scripted,Japanese,"['Action', 'Science-Fiction']",Ended,12.0,12.0,2020-11-22,2021-01-31,http://m-78.jp/galaxy-fight/tac/,15,"{'id': 21, 'name': 'YouTube', 'country': None, 'officialSite': 'https://www.youtube.com'}",,"<p>The eagerly awaited new entry to the Ultra Galaxy Fight series will be released on YouTube! With ten episodes adding up to about ninety minutes in total, Ultra Galaxy Fight: The Absolute Conspiracy will be packed with profound drama and exciting action!</p><p>Mysterious aliens and evil monsters that shouldn't exist are attacking!<br />Zero, Ribut, Taiga, Z (Zett), 80, Max, Mebius, Great, Powered, Grigio, and many more Ultra Heroes fight together to solve this mysterious case, which could end up affecting the whole universe. However, this is only the beginning! A conspiracy is underway – and stories are intersecting. What is the aim of the golden giant working in the shadows?!</p><p>While connecting to the TV series Ultraman Z as well, a new history of Ultraman begins!</p>",1612060922
52303,https://www.tvmaze.com/shows/52303/pappas-pojkar,Pappas pojkar,Scripted,Swedish,['Comedy'],Running,22.0,22.0,2020-12-06,,https://www.discoveryplus.se/program/pappas-pojkar,27,"{'id': 173, 'name': 'discovery+', 'country': None, 'officialSite': 'https://www.discoveryplus.com/'}",,"<p>Once they were the coolest guys in school. Ten years later, they are still partying as if they were carefree teenagers. Now it's high time for daddy's boys to grow up.</p>",1626429264
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
52653,https://www.tvmaze.com/shows/52653/outlier,Outlier,Scripted,Norwegian,"['Drama', 'Crime', 'Thriller']",Ended,,43.0,2020-12-27,2020-12-27,https://hbonordic.com/series/outlier/b6fcd668-52c9-4200-a80f-e1fb829ebe7d,75,"{'id': 330, 'name': 'HBO Nordic', 'country': None, 'officialSite': None}",,"<p>In the middle of the night, far north in Norway at Finnmarksvidda, the Sami teenager Elle Jannok is on her way home from a party, when she finds a cell phone ringing. The phone belongs to a missing girl, Sofie. A couple of days later, the local police discover Sofie's body in a caravan three hours south of Finnmark.</p><p>Maja Angell, who is studying at the University of London, is defending her highly debated doctoral thesis on criminology &amp; profiling as she hears about the murder case in her old home town in Northern Norway. She defies all warnings and leaves the University to travel North. She has a message for the local police: the man charged with the murder, is not the killer. But no one's willing to listen to her theories. Not until Maja dares to delve into her own most dangerous, repressed memories of childhood will she be able to stop him and soon she realize that the killer is closer than she ever imagined.</p>",1614642259
